label,run_dir,task,block,step,loss,g_mean,g_frac>0.5,lr,g_b0_Q1,g_b0_Q2,g_b0_Q3,g_b0_Q4
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,350,5.627674102783203,0.0019538754131644964,0.001953125,0.00017363960796501487,0.007811819203197956,1.3972486385682714e-06,1.167363961940282e-06,1.1185500170540763e-06
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,350,5.627674102783203,0.9590650796890259,1.0,0.00017363960796501487,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,380,6.264307022094727,0.006984985899180174,0.005859375,0.00015702487144153565,0.027935491874814034,1.664890987740364e-06,1.4732372619619127e-06,1.3115318324707914e-06
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,380,6.264307022094727,0.8211688995361328,0.9970703125,0.00015702487144153565,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,430,5.665337562561035,0.011632357724010944,0.0107421875,0.00012407910253386945,0.046515993773937225,5.1271899792482145e-06,4.313566023483872e-06,3.998594365839381e-06
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,430,5.665337562561035,0.9690892696380615,1.0,0.00012407910253386945,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,570,5.755467414855957,0.009557154960930347,0.0087890625,3.718847074196674e-05,0.037928253412246704,0.00012332951882854104,0.000110835004306864,6.620425847359002e-05
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,570,5.755467414855957,0.6890811920166016,0.953125,3.718847074196674e-05,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,620,5.424320697784424,0.015857279300689697,0.015625,2.248670716653578e-05,0.06329964846372604,4.749907020595856e-05,4.242136492393911e-05,3.95463575841859e-05
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,620,5.424320697784424,0.8761239051818848,1.0,2.248670716653578e-05,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,650,5.484311103820801,0.023907775059342384,0.025390625,0.00019999999494757503,0.08840801566839218,0.0071023814380168915,6.436732655856758e-05,5.633135515381582e-05
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,650,5.484311103820801,0.9469076991081238,1.0,0.00019999999494757503,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,670,6.7417497634887695,0.017803972586989403,0.015625,0.00019972256268374622,0.07093223184347153,0.00011020420788554475,8.921966218622401e-05,8.423495455645025e-05
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,670,6.7417497634887695,0.4846150875091553,0.45703125,0.00019972256268374622,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,720,5.844655513763428,0.008634881116449833,0.0087890625,0.0001966209674719721,0.03405899927020073,0.00017001231026370078,0.00015275816258508712,0.00015775676001794636
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,720,5.844655513763428,0.9970595836639404,1.0,0.0001966209674719721,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,770,5.985733985900879,0.0219352375715971,0.0234375,0.00019019059254787862,0.08678953349590302,0.0003491074894554913,0.000326749577652663,0.00027557509019970894
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,770,5.985733985900879,0.6952691078186035,0.9794921875,0.00019019059254787862,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,840,6.232761383056641,0.038354262709617615,0.0341796875,0.00017608902999199927,0.13542918860912323,0.008263863623142242,0.0048066601157188416,0.004917328245937824
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,840,6.232761383056641,0.41561266779899597,0.1044921875,0.00017608902999199927,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,0,940,5.6634674072265625,0.01717081293463707,0.017578125,0.00014767936954740435,0.06728516519069672,0.0005557724507525563,0.00045006844447925687,0.00039224361535161734
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,copy,1,940,5.6634674072265625,0.9875354170799255,1.0,0.00014767936954740435,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,hf,0,70,1.8205504417419434,0.0027435440570116043,0.0013812155229970813,0.0001955950865522027,0.001086520729586482,0.002459908602759242,0.0053362469188869,0.0021056749392300844
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,hf,1,70,1.8205504417419434,0.0028810789808630943,0.0,0.0001955950865522027,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,hf,0,90,3.329075574874878,0.006895885802805424,0.0,0.00018281153461430222,0.007383916061371565,0.004810917656868696,0.004722404293715954,0.010544679127633572
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,hf,1,90,3.329075574874878,0.7174680829048157,0.9044421315193176,0.00018281153461430222,,,,
E18_sequential-s1337,C:\Users\andre\Documents\_projects\_memformer\dncformer\experiments\runs\dncformer-20250827-151432-E18_sequential-s1337,hf,0,130,1.876122236251831,0.24346596002578735,0.03643497824668884,0.00013781152665615082,0.16956491768360138,0.20941591262817383,0.2658036947250366,0.32465100288391113
